AC7B,AC8B,ESAC1A,ESAC2A,ESAC6A,ESDC1A,ESST1A,ESST3A,ESST4B,EXAC1,EXAC2,EXAC3,EXDC2,EXPIC1,EXST1,EXST3,IEEET1,IEEET2,IEEET3,IEEET5,REXSYS,SCRX,SEXS,ST6B
OpenIPSL.Examples.Controls.PSSE.ES.AC7B,OpenIPSL.Examples.Controls.PSSE.ES.AC8B,OpenIPSL.Examples.Controls.PSSE.ES.EXAC1A,OpenIPSL.Examples.Controls.PSSE.ES.ESAC2A,OpenIPSL.Examples.Controls.PSSE.ES.ESAC6A,OpenIPSL.Examples.Controls.PSSE.ES.ESDC1A,OpenIPSL.Examples.Controls.PSSE.ES.ESST1A,OpenIPSL.Examples.Controls.PSSE.ES.ESST3A,OpenIPSL.Examples.Controls.PSSE.ES.ESST4B,OpenIPSL.Examples.Controls.PSSE.ES.EXAC1,OpenIPSL.Examples.Controls.PSSE.ES.EXAC2,OpenIPSL.Examples.Controls.PSSE.ES.EXAC3,OpenIPSL.Examples.Controls.PSSE.ES.EXDC2,OpenIPSL.Examples.Controls.PSSE.ES.EXPIC1,OpenIPSL.Examples.Controls.PSSE.ES.EXST1,OpenIPSL.Examples.Controls.PSSE.ES.EXST3,OpenIPSL.Examples.Controls.PSSE.ES.IEEET1,OpenIPSL.Examples.Controls.PSSE.ES.IEEET2,OpenIPSL.Examples.Controls.PSSE.ES.IEEET3,OpenIPSL.Examples.Controls.PSSE.ES.IEEET5,OpenIPSL.Examples.Controls.PSSE.ES.REXSYS,OpenIPSL.Examples.Controls.PSSE.ES.SCRX,OpenIPSL.Examples.Controls.PSSE.ES.SEXS,OpenIPSL.Examples.Controls.PSSE.ES.STEB
Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time
delta,,gENROE.delta,gENROU.delta,,,,,,,,,,,,,,,,,,,,
pelec,,gENROE.PELEC ,gENROU.PELEC ,,,,,,,,,,,,,,,,,,,,
efd,,eSAC1A.EFD ,eSAC2A.EFD ,,,,,,,,,,,,,,,,,,,,
speed,,gENROE.SPEED ,gENROU.SPEED ,,,,,,,,,,,,,,,,,,,,
GEN1.V,GEN1.V,GEN1.V,GEN1.V,GEN1.V,GEN1.V,GEN1.V,GEN1.V,GEN1.V,GEN1.V,GEN1.V,GEN1.V,GEN1.V,GEN1.V,GEN1.V,GEN1.V,GEN1.V,GEN1.V,GEN1.V,GEN1.V,GEN1.V,GEN1.V,GEN1.V,GEN1.V
LOAD.V,LOAD.V,LOAD.V,LOAD.V,LOAD.V,LOAD.V,LOAD.V,LOAD.V,LOAD.V,LOAD.V,LOAD.V,LOAD.V,LOAD.V,LOAD.V,LOAD.V,LOAD.V,LOAD.V,LOAD.V,LOAD.V,LOAD.V,LOAD.V,LOAD.V,LOAD.V,LOAD.V
GEN2.V,GEN2.V,GEN2.V,GEN2.V,GEN2.V,GEN2.V,GEN2.V,GEN2.V,GEN2.V,GEN2.V,GEN2.V,GEN2.V,GEN2.V,GEN2.V,GEN2.V,GEN2.V,GEN2.V,GEN2.V,GEN2.V,GEN2.V,GEN2.V,GEN2.V,GEN2.V,GEN2.V
FAULT.V,FAULT.V,FAULT.V,FAULT.V,FAULT.V,FAULT.V,FAULT.V,FAULT.V,FAULT.V,FAULT.V,FAULT.V,FAULT.V,FAULT.V,FAULT.V,FAULT.V,FAULT.V,FAULT.V,FAULT.V,FAULT.V,FAULT.V,FAULT.V,FAULT.V,FAULT.V,FAULT.V
