Time,gENROE.delta,gENROE.PELEC,eXAC1_1.EFD,gENROE.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,0.60045785,0.40000004,1.4314197,0.0,0.99999994,0.9919935,0.99999994,0.99598414
1e-10,0.60045785,0.40000004,1.4314197,-5.15505e-19,0.99999994,0.9919935,0.99999994,0.99598414
0.0002,0.60045785,0.40000004,1.4314197,-1.0310053e-12,0.99999994,0.9919935,0.99999994,0.99598414
0.0004,0.60045785,0.40000004,1.4314197,-2.0620005e-12,0.99999994,0.9919935,0.99999994,0.99598414
0.0006,0.60045785,0.40000004,1.4314197,-3.092986e-12,0.99999994,0.9919935,0.99999994,0.99598414
0.0008,0.60045785,0.40000004,1.4314197,-4.123961e-12,0.99999994,0.9919935,0.99999994,0.99598414
0.001,0.60045785,0.40000004,1.4314197,-5.154926e-12,0.99999994,0.9919935,0.99999994,0.99598414
0.0012,0.60045785,0.40000004,1.4314197,-6.1858804e-12,0.99999994,0.9919935,0.99999994,0.99598414
0.0014,0.60045785,0.40000004,1.4314197,-7.2168244e-12,0.99999994,0.9919935,0.99999994,0.99598414
0.0016,0.60045785,0.40000004,1.4314197,-8.247758e-12,0.99999994,0.9919935,0.99999994,0.99598414
0.0018,0.60045785,0.40000004,1.4314197,-9.278679e-12,0.99999994,0.9919935,0.99999994,0.99598414
0.002,0.60045785,0.40000004,1.4314197,-1.030959e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.0022,0.60045785,0.40000004,1.4314197,-1.1340489e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.0024,0.60045785,0.40000004,1.4314197,-1.23713765e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.0026,0.60045785,0.40000004,1.4314197,-1.3402253e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.0028,0.60045785,0.40000004,1.4314197,-1.4433119e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.003,0.60045785,0.40000004,1.4314197,-1.5463974e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.0032,0.60045785,0.40000004,1.4314197,-1.6494816e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.0034,0.60045785,0.40000004,1.4314197,-1.7525644e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.0036,0.60045785,0.40000004,1.4314197,-1.8556457e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.0038,0.60045785,0.40000004,1.4314197,-1.9587257e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.004,0.60045785,0.40000004,1.4314197,-2.0618044e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.0042,0.60045785,0.40000004,1.4314197,-2.1648818e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.0044,0.60045785,0.40000004,1.4314197,-2.267958e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.0046,0.60045785,0.40000004,1.4314197,-2.3710329e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.0048,0.60045785,0.40000004,1.4314197,-2.4741065e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.005,0.60045785,0.40000004,1.4314197,-2.577179e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.0052,0.60045785,0.40000004,1.4314197,-2.6802501e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.0054,0.60045785,0.40000004,1.4314197,-2.78332e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.0056,0.60045785,0.40000004,1.4314197,-2.8863884e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.0058,0.60045785,0.40000004,1.4314197,-2.9894556e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.006,0.60045785,0.40000004,1.4314197,-3.0925217e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.0062,0.60045785,0.40000004,1.4314197,-3.1955865e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.0064,0.60045785,0.40000004,1.4314197,-3.29865e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.0066,0.60045785,0.40000004,1.4314197,-3.4017116e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.0068,0.60045785,0.40000004,1.4314197,-3.5047697e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.007,0.60045785,0.40000004,1.4314197,-3.6078262e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.0072,0.60045785,0.40000004,1.4314197,-3.7108813e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.0074,0.60045785,0.40000004,1.4314197,-3.8139346e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.0076,0.60045785,0.40000004,1.4314197,-3.9169865e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.0078,0.60045785,0.40000004,1.4314197,-4.0200367e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.008,0.60045785,0.40000004,1.4314197,-4.1230852e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.0082,0.60045785,0.40000004,1.4314197,-4.2261323e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.0084,0.60045785,0.40000004,1.4314197,-4.329178e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.0086,0.60045785,0.40000004,1.4314197,-4.432222e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.0088,0.60045785,0.40000004,1.4314197,-4.5352642e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.009,0.60045785,0.40000004,1.4314197,-4.638305e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.0092,0.60045785,0.40000004,1.4314197,-4.741344e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.0094,0.60045785,0.40000004,1.4314197,-4.844382e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.0096,0.60045785,0.40000004,1.4314197,-4.9474178e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.0098,0.60045785,0.40000004,1.4314197,-5.050452e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.01,0.60045785,0.40000004,1.4314197,-5.153485e-11,0.99999994,0.9919935,0.99999994,0.99598414
